question,option1,option2,option3,option4,answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
What is 2+2?,1,2,3,4,4
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Venus,Jupiter
What is the chemical symbol for water?,H2O,CO2,O2,N2,H2O
What is the smallest country in the world?,Monaco,Liechtenstein,Vatican City,San Marino,Vatican City
What is the boiling point of water in Celsius?,50,75,100,125,100
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
What is the square root of 64?,6,7,8,9,8
What is the currency of Japan?,Yen,Euro,Dollar,Pound,Yen
What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Everest,K2,Mount Fuji,Mount Everest
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au
What is the capital of Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,Brasília
What is the speed of light?,200,000 km/s,250,000 km/s,300,000 km/s,350,000 km/s,300,000 km/s
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale
What is the boiling point of water in Fahrenheit?,180,200,212,225,212
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,Ottawa
What is the smallest planet in our solar system?,Mercury,Venus,Earth,Mars,Mercury
What is the chemical symbol for oxygen?,O,O2,O3,O4,O
What is the capital of Germany?,Berlin,Hamburg,Munich,Frankfurt,Berlin
What is the largest moon in our solar system?,Io,Europa,Ganymede,Callisto,Ganymede
What is the square root of 144?,10,11,12,13,12
What is the currency of India?,Rupee,Yen,Euro,Dollar,Rupee
What is the tallest mountain in Africa?,Mount Kilimanjaro,Mount Kenya,Mount Elgon,Mount Stanley,Mount Kilimanjaro
What is the chemical symbol for silver?,Ag,Au,Pt,Cu,Ag
What is the capital of Italy?,Rome,Milan,Naples,Turin,Rome
What is the speed of sound in air?,300 m/s,320 m/s,340 m/s,360 m/s,340 m/s
What is the largest bird in the world?,Ostrich,Emu,Cassowary,Rhea,Ostrich
What is the boiling point of water in Kelvin?,350 K,360 K,370 K,373 K,373 K
What is the capital of Spain?,Madrid,Barcelona,Valencia,Seville,Madrid
What is the smallest moon in our solar system?,Deimos,Phobos,Mimas,Enceladus,Deimos
What is the square root of 256?,14,15,16,17,16
What is the currency of China?,Yuan,Yen,Euro,Dollar,Yuan
What is the tallest mountain in Europe?,Mont Blanc,Mount Elbrus,Mount Etna,Mount Vesuvius,Mount Elbrus
What is the chemical symbol for copper?,Cu,Ag,Au,Fe,Cu
What is the capital of Russia?,Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg,Moscow
What is the speed of light in a vacuum?,299,792 km/s,300,000 km/s,305,000 km/s,310,000 km/s,299,792 km/s
What is the largest fish in the world?,Whale Shark,Basking Shark,Great White Shark,Tiger Shark,Whale Shark
What is the boiling point of water in Rankine?,670 R,680 R,690 R,700 R,670 R
What is the capital of Portugal?,Lisbon,Porto,Coimbra,Braga,Lisbon
What is the smallest dwarf planet in our solar system?,Ceres,Pluto,Eris,Makemake,Ceres
What is the square root of 324?,16,17,18,19,18
What is the currency of South Korea?,Won,Yen,Euro,Dollar,Won
